libra-oa:11808 doi:10.18130/V33T8J
libra-oa:11876 doi:10.18130/V3046Z
libra-oa:11816 doi:10.18130/V3VB41
libra-oa:11787 doi:10.18130/V3QN0C
libra-oa:11884 doi:10.18130/V3KT8W
libra-oa:7781 doi:10.18130/V3G47P
libra-oa:191 doi:10.18130/V3BB4C
libra-oa:84 doi:10.18130/V36N13
libra-oa:11882 doi:10.18130/V32T87
libra-oa:2778 doi:10.18130/V3Z471
libra-oa:7927 doi:10.18130/V3TB53
libra-oa:8359 doi:10.18130/V3PN1F
libra-oa:8357 doi:10.18130/V3JV0W
libra-oa:8354 doi:10.18130/V3F460
libra-oa:8361 doi:10.18130/V39F2B
libra-oa:11888 doi:10.18130/V35N0D
libra-oa:11847 doi:10.18130/V31X8Z
libra-oa:3480 doi:10.18130/V3X46B
libra-oa:2926 doi:10.18130/V3SF2P
libra-oa:2630 doi:10.18130/V3NN0R
libra-oa:11849 doi:10.18130/V3HX9P
libra-oa:8151 doi:10.18130/V3D46P
libra-oa:7298 doi:10.18130/V38F4S
libra-oa:2815 doi:10.18130/V34N1G
libra-oa:469 doi:10.18130/V30X8N
libra-oa:11676 doi:10.18130/V3W47D
libra-oa:526 doi:10.18130/V3RF3R
libra-oa:10931 doi:10.18130/V3MN26
libra-oa:10933 doi:10.18130/V3GX80
libra-oa:1386 doi:10.18130/V3C47R
libra-oa:11920 doi:10.18130/V37F2Q
libra-oa:9620 doi:10.18130/V33R0T
libra-oa:7360 doi:10.18130/V3ZX8B
libra-oa:3268 doi:10.18130/V3V75C
libra-oa:9170 doi:10.18130/V3QF3F
libra-oa:6313 doi:10.18130/V3KR1J
libra-oa:854 doi:10.18130/V3FX8P
libra-oa:852 doi:10.18130/V3B763
libra-oa:876 doi:10.18130/V36F3S
libra-oa:117 doi:10.18130/V37X7F
libra-oa:139 doi:10.18130/V34767
libra-oa:140 doi:10.18130/V30F49
libra-oa:150 doi:10.18130/V3VR0N
libra-oa:159 doi:10.18130/V3QX9J
libra-oa:168 doi:10.18130/V3M756
libra-oa:177 doi:10.18130/V3GF4N
libra-oa:208 doi:10.18130/V3BQ92
libra-oa:25 doi:10.18130/V3717G
libra-oa:29 doi:10.18130/V3375J
libra-oa:328 doi:10.18130/V3ZJ28
libra-oa:39 doi:10.18130/V3TQ9D
libra-oa:41 doi:10.18130/V3Q186
libra-oa:43 doi:10.18130/V3K75W
libra-oa:46 doi:10.18130/V3FJ30
libra-oa:55 doi:10.18130/V39R0P
libra-oa:57 doi:10.18130/V3618J
libra-oa:59 doi:10.18130/V32757
libra-oa:61 doi:10.18130/V3XJ2Z
libra-oa:65 doi:10.18130/V3SR1D
libra-oa:68 doi:10.18130/V3P17H
libra-oa:75 doi:10.18130/V3J76Z
libra-oa:88 doi:10.18130/V3DJ1X
libra-oa:90 doi:10.18130/V38T9G
libra-oa:92 doi:10.18130/V3517V
libra-oa:93 doi:10.18130/V31B4K
libra-oa:9 doi:10.18130/V3WJ2N
libra-oa:699 doi:10.18130/V3RT9T
libra-oa:697 doi:10.18130/V3N176
libra-oa:712 doi:10.18130/V3HB59
libra-oa:759 doi:10.18130/V3CJ20
libra-oa:964 doi:10.18130/V37V03
libra-oa:966 doi:10.18130/V3417J
libra-oa:968 doi:10.18130/V30B48
libra-oa:970 doi:10.18130/V3VJ3Q
libra-oa:972 doi:10.18130/V3QT9H
libra-oa:974 doi:10.18130/V3M188
libra-oa:976 doi:10.18130/V3GB4M
libra-oa:978 doi:10.18130/V3BN0Z
libra-oa:980 doi:10.18130/V36T9V
libra-oa:982 doi:10.18130/V3346W
libra-oa:984 doi:10.18130/V3ZB4Z
libra-oa:986 doi:10.18130/V3TN1P
libra-oa:988 doi:10.18130/V3PT8T
libra-oa:990 doi:10.18130/V3K47M
libra-oa:992 doi:10.18130/V3FB49
libra-oa:994 doi:10.18130/V39N2D
libra-oa:996 doi:10.18130/V35T9J
libra-oa:998 doi:10.18130/V3247Z
libra-oa:1000 doi:10.18130/V3XB4N
libra-oa:1002 doi:10.18130/V3SN1C
libra-oa:1004 doi:10.18130/V3NV0T
libra-oa:1006 doi:10.18130/V3J46X
libra-oa:1008 doi:10.18130/V3DF28
libra-oa:1010 doi:10.18130/V38N0B
libra-oa:1014 doi:10.18130/V34X98
libra-oa:1016 doi:10.18130/V31468
libra-oa:1018 doi:10.18130/V3WF4C
libra-oa:1020 doi:10.18130/V3RN0P
libra-oa:1022 doi:10.18130/V3MX9M
libra-oa:1024 doi:10.18130/V3H46M
libra-oa:1026 doi:10.18130/V3CF53
libra-oa:1028 doi:10.18130/V37N1D
libra-oa:1034 doi:10.18130/V33Z0W
libra-oa:1036 doi:10.18130/V3047B
libra-oa:1040 doi:10.18130/V3VF3P
libra-oa:1042 doi:10.18130/V3QN1R
libra-oa:1044 doi:10.18130/V3KX99
libra-oa:1046 doi:10.18130/V3G75Z
libra-oa:1048 doi:10.18130/V3BF31
libra-oa:1050 doi:10.18130/V36R14
libra-oa:1054 doi:10.18130/V32X88
libra-oa:1058 doi:10.18130/V3Z76P
libra-oa:1060 doi:10.18130/V3TF20
libra-oa:1062 doi:10.18130/V3PR2V
libra-oa:1064 doi:10.18130/V3JX8M
libra-oa:1066 doi:10.18130/V3F761
libra-oa:1070 doi:10.18130/V39F3Q
libra-oa:1072 doi:10.18130/V35R26
libra-oa:1074 doi:10.18130/V31X9B
libra-oa:1078 doi:10.18130/V3X76C
libra-oa:1080 doi:10.18130/V3SF32
libra-oa:1082 doi:10.18130/V3NR15
libra-oa:1084 doi:10.18130/V3J178
libra-oa:1086 doi:10.18130/V3D75B
libra-oa:1090 doi:10.18130/V38J3F
libra-oa:1092 doi:10.18130/V34R04
libra-oa:1096 doi:10.18130/V31180
libra-oa:1098 doi:10.18130/V3W749
libra-oa:1100 doi:10.18130/V3RJ45
libra-oa:1102 doi:10.18130/V3MR0G
libra-oa:1104 doi:10.18130/V3H18B
libra-oa:1116 doi:10.18130/V3C74N
libra-oa:1118 doi:10.18130/V37J4H
libra-oa:1120 doi:10.18130/V33R16
libra-oa:1122 doi:10.18130/V3018P
libra-oa:1124 doi:10.18130/V3V76R
libra-oa:1126 doi:10.18130/V3QJ3G
libra-oa:1128 doi:10.18130/V3KT98
libra-oa:1132 doi:10.18130/V3G17N
libra-oa:1134 doi:10.18130/V3BB5R
libra-oa:1136 doi:10.18130/V36J2F
libra-oa:1152 doi:10.18130/V32T9M
libra-oa:1154 doi:10.18130/V3Z16M
libra-oa:1158 doi:10.18130/V3TB6G
libra-oa:1168 doi:10.18130/V3PJ2S
libra-oa:1170 doi:10.18130/V3JV18
libra-oa:1184 doi:10.18130/V3F17B
libra-oa:1186 doi:10.18130/V39B5F
libra-oa:1188 doi:10.18130/V35J3H
libra-oa:1190 doi:10.18130/V31V07
libra-oa:1192 doi:10.18130/V3X182
libra-oa:1194 doi:10.18130/V3SB5S
libra-oa:1196 doi:10.18130/V3NJ3V
libra-oa:1198 doi:10.18130/V3HT9N
libra-oa:1200 doi:10.18130/V3D472
libra-oa:1202 doi:10.18130/V38B4R
libra-oa:1206 doi:10.18130/V34N2V
libra-oa:1208 doi:10.18130/V30T90
libra-oa:1210 doi:10.18130/V3W48S
libra-oa:1212 doi:10.18130/V3RB43
libra-oa:1216 doi:10.18130/V3MN3K
libra-oa:1218 doi:10.18130/V3GT9B
libra-oa:1220 doi:10.18130/V3C484
libra-oa:1222 doi:10.18130/V37B4F
libra-oa:1224 doi:10.18130/V33N2J
libra-oa:1228 doi:10.18130/V3ZV0M
libra-oa:1230 doi:10.18130/V3V473
libra-oa:1232 doi:10.18130/V3QB55
libra-oa:1234 doi:10.18130/V3KN1H
libra-oa:1236 doi:10.18130/V3FX92
libra-oa:1238 doi:10.18130/V3B462
libra-oa:1240 doi:10.18130/V36F45
libra-oa:1242 doi:10.18130/V32N1V
libra-oa:1244 doi:10.18130/V3XX9D
libra-oa:1246 doi:10.18130/V3T451
libra-oa:1248 doi:10.18130/V3PF5W
libra-oa:1250 doi:10.18130/V3JN16
libra-oa:1252 doi:10.18130/V3DZ0P
libra-oa:1254 doi:10.18130/V3946R
libra-oa:1256 doi:10.18130/V35F4V
libra-oa:1258 doi:10.18130/V31N2X
libra-oa:1262 doi:10.18130/V3WX93
libra-oa:1266 doi:10.18130/V3S47G
libra-oa:1268 doi:10.18130/V3NF46
libra-oa:1270 doi:10.18130/V3HR0J
libra-oa:1272 doi:10.18130/V3CX7P
libra-oa:1274 doi:10.18130/V3876G
libra-oa:1276 doi:10.18130/V34F35
libra-oa:1278 doi:10.18130/V30R18
libra-oa:1280 doi:10.18130/V3VX71
libra-oa:1282 doi:10.18130/V3R776
libra-oa:1284 doi:10.18130/V3MF3H
libra-oa:1286 doi:10.18130/V3GR20
libra-oa:1288 doi:10.18130/V3BX8R
libra-oa:1290 doi:10.18130/V3777J
libra-oa:1292 doi:10.18130/V33F47
libra-oa:1294 doi:10.18130/V3ZR1Z
libra-oa:1296 doi:10.18130/V3TX9G
libra-oa:1298 doi:10.18130/V3Q76H
libra-oa:1300 doi:10.18130/V3KJ2V
libra-oa:1302 doi:10.18130/V3FQ90
libra-oa:1304 doi:10.18130/V3B18S
libra-oa:1306 doi:10.18130/V3675G
libra-oa:1308 doi:10.18130/V32J3K
libra-oa:1310 doi:10.18130/V3XQ9B
libra-oa:1314 doi:10.18130/V3T19H
libra-oa:1316 doi:10.18130/V3P75T
libra-oa:1318 doi:10.18130/V3JJ49
libra-oa:1320 doi:10.18130/V3DR0M
libra-oa:1322 doi:10.18130/V3576J
libra-oa:1324 doi:10.18130/V31J2W
libra-oa:1326 doi:10.18130/V3WR0Z
libra-oa:1328 doi:10.18130/V3S18T
libra-oa:1330 doi:10.18130/V3NB45
libra-oa:1332 doi:10.18130/V3HJ27
libra-oa:1334 doi:10.18130/V3CV0B
libra-oa:1338 doi:10.18130/V3817S
libra-oa:1340 doi:10.18130/V34B5W
libra-oa:1342 doi:10.18130/V30J16
libra-oa:1344 doi:10.18130/V3VV12
libra-oa:1346 doi:10.18130/V3R174
libra-oa:1348 doi:10.18130/V3MB57
libra-oa:1350 doi:10.18130/V3GJ1J
libra-oa:1352 doi:10.18130/V3BV1D
libra-oa:1354 doi:10.18130/V3718V
libra-oa:1356 doi:10.18130/V33B5K
libra-oa:1360 doi:10.18130/V3ZJ3N
libra-oa:1362 doi:10.18130/V3TV0C
libra-oa:1368 doi:10.18130/V3Q46G
libra-oa:1370 doi:10.18130/V3KB4J
libra-oa:1372 doi:10.18130/V3FN2N
libra-oa:1374 doi:10.18130/V39T9S
libra-oa:1376 doi:10.18130/V3646T
libra-oa:1378 doi:10.18130/V32B3H
libra-oa:1380 doi:10.18130/V3XN3C
libra-oa:1382 doi:10.18130/V3ST94
libra-oa:1384 doi:10.18130/V3P48X
libra-oa:1388 doi:10.18130/V3JB3V
libra-oa:1392 doi:10.18130/V3DN3Q
libra-oa:1394 doi:10.18130/V38V0D
libra-oa:1398 doi:10.18130/V3547W
libra-oa:1400 doi:10.18130/V31B5Z
libra-oa:1404 doi:10.18130/V3WN2P
libra-oa:1406 doi:10.18130/V3RV0R
libra-oa:1408 doi:10.18130/V3N46V
libra-oa:1410 doi:10.18130/V3HF4Z
libra-oa:1412 doi:10.18130/V3CN1N
libra-oa:1414 doi:10.18130/V37X8T
libra-oa:1416 doi:10.18130/V3445T
libra-oa:1420 doi:10.18130/V30F5P
libra-oa:1422 doi:10.18130/V3VN10
libra-oa:1424 doi:10.18130/V3QZ0G
libra-oa:1426 doi:10.18130/V3M46J
libra-oa:1428 doi:10.18130/V3GF51
libra-oa:1430 doi:10.18130/V3BN1B
libra-oa:1432 doi:10.18130/V36X9W
libra-oa:1436 doi:10.18130/V33478
libra-oa:1440 doi:10.18130/V3ZF40
libra-oa:1452 doi:10.18130/V3TN22
libra-oa:1454 doi:10.18130/V3PX8V
libra-oa:1456 doi:10.18130/V3K768
libra-oa:1458 doi:10.18130/V3FF3Z
libra-oa:1460 doi:10.18130/V39R12
libra-oa:1462 doi:10.18130/V35X86
libra-oa:1478 doi:10.18130/V3276M
libra-oa:1502 doi:10.18130/V3XF39
libra-oa:1504 doi:10.18130/V3SR2S
libra-oa:1510 doi:10.18130/V3NX8J
libra-oa:1530 doi:10.18130/V3J77B
libra-oa:1540 doi:10.18130/V3DF3N
libra-oa:1548 doi:10.18130/V38R1R
libra-oa:1550 doi:10.18130/V34Z06
libra-oa:1558 doi:10.18130/V3177P
libra-oa:1562 doi:10.18130/V3WF5R
libra-oa:1572 doi:10.18130/V3RR2G
libra-oa:1576 doi:10.18130/V3N18K
libra-oa:1578 doi:10.18130/V3H76N
libra-oa:1580 doi:10.18130/V3CJ3C
libra-oa:1594 doi:10.18130/V37R1F
libra-oa:1600 doi:10.18130/V3418X
libra-oa:1606 doi:10.18130/V3075M
libra-oa:1620 doi:10.18130/V3VJ43
libra-oa:1622 doi:10.18130/V3QR1S
libra-oa:1634 doi:10.18130/V3M19N
libra-oa:1638 doi:10.18130/V3G76B
libra-oa:1640 doi:10.18130/V3BJ4F
libra-oa:1642 doi:10.18130/V36R2H
libra-oa:1644 doi:10.18130/V33190
libra-oa:1648 doi:10.18130/V3Z772
libra-oa:1650 doi:10.18130/V3TJ4S
libra-oa:1652 doi:10.18130/V3PT96
libra-oa:1654 doi:10.18130/V3K17K
libra-oa:1656 doi:10.18130/V3FB5P
libra-oa:1660 doi:10.18130/V39J3R
libra-oa:1662 doi:10.18130/V35V0G
libra-oa:1664 doi:10.18130/V3217X
libra-oa:1666 doi:10.18130/V3XB51
libra-oa:1670 doi:10.18130/V3SJ33
libra-oa:1672 doi:10.18130/V3NV16
libra-oa:1674 doi:10.18130/V3J18N
libra-oa:1676 doi:10.18130/V3DB6R
libra-oa:1684 doi:10.18130/V38J4T
libra-oa:1690 doi:10.18130/V34V05
libra-oa:1692 doi:10.18130/V3119C
libra-oa:1694 doi:10.18130/V3WB63
libra-oa:1696 doi:10.18130/V3RN12
libra-oa:1698 doi:10.18130/V3MV0H
libra-oa:1702 doi:10.18130/V3H470
libra-oa:1706 doi:10.18130/V3CB52
libra-oa:1708 doi:10.18130/V37N2S
libra-oa:1710 doi:10.18130/V33T9X
libra-oa:1712 doi:10.18130/V3048Q
libra-oa:1714 doi:10.18130/V3VB5D
libra-oa:1720 doi:10.18130/V3QN24
libra-oa:1724 doi:10.18130/V3KV06
libra-oa:1726 doi:10.18130/V3G482
libra-oa:1728 doi:10.18130/V3BB64
libra-oa:1730 doi:10.18130/V36N2G
libra-oa:1732 doi:10.18130/V32V0J
libra-oa:1738 doi:10.18130/V3Z48D
libra-oa:1740 doi:10.18130/V3TF3C
libra-oa:1742 doi:10.18130/V3PN2T
libra-oa:1744 doi:10.18130/V3JX90
libra-oa:1746 doi:10.18130/V3F47C
libra-oa:1756 doi:10.18130/V39F43
libra-oa:1758 doi:10.18130/V31Z08
libra-oa:1760 doi:10.18130/V3X47Q
libra-oa:1764 doi:10.18130/V3SF4F
libra-oa:1766 doi:10.18130/V3NN14
libra-oa:1768 doi:10.18130/V3HZ0M
libra-oa:1772 doi:10.18130/V3D48F
libra-oa:1774 doi:10.18130/V38F55
libra-oa:1776 doi:10.18130/V34N37
libra-oa:1778 doi:10.18130/V30X91
libra-oa:1780 doi:10.18130/V3W75P
libra-oa:1782 doi:10.18130/V3RF44
libra-oa:1784 doi:10.18130/V3MR1V
libra-oa:1786 doi:10.18130/V3GX9C
libra-oa:1792 doi:10.18130/V3C751
libra-oa:1794 doi:10.18130/V37F33
libra-oa:1796 doi:10.18130/V33R2K
libra-oa:1800 doi:10.18130/V3ZX9Q
libra-oa:1802 doi:10.18130/V3V774
libra-oa:1804 doi:10.18130/V3QF4T
libra-oa:1806 doi:10.18130/V3KR2X
libra-oa:1808 doi:10.18130/V3FZ00
libra-oa:1810 doi:10.18130/V3B77G
libra-oa:1812 doi:10.18130/V36F5J
libra-oa:1814 doi:10.18130/V32R28
libra-oa:1816 doi:10.18130/V3XZ0B
libra-oa:1818 doi:10.18130/V3T76F
libra-oa:1820 doi:10.18130/V3PJ35
libra-oa:1826 doi:10.18130/V3JR17
libra-oa:1830 doi:10.18130/V3F18Q
libra-oa:1832 doi:10.18130/V3976S
libra-oa:1834 doi:10.18130/V35J4W
libra-oa:1836 doi:10.18130/V31R1K
libra-oa:1838 doi:10.18130/V3X19F
libra-oa:1840 doi:10.18130/V3S764
libra-oa:1844 doi:10.18130/V3NJ47
libra-oa:1846 doi:10.18130/V3HR1X
libra-oa:1848 doi:10.18130/V3D19S
libra-oa:1850 doi:10.18130/V3877V
libra-oa:1852 doi:10.18130/V34J4K
libra-oa:1854 doi:10.18130/V30R2N
